# ── Subject metadata (read by Claude) ────────────────────────────────
PREFIX:   PJ
SUBJECT:  日本語
MASTER:   powerty
TUTORIAL: PJ-<n>:   (each practice links to its own tutorial)
# (MASTER = production master username. On local dev use 'prime' instead.)
# Writing rules live in STYLE_GUIDE_PJ_PRACTICE.md.
# Import: python manage.py import_practices <file> --master=prime --expect-questions=<n>
# EVERYTHING IN UZBEK — Japanese only as the material. No English.
# ─────────────────────────────────────────────────────────────────────

# Prime Japanese Mashqlar — one test per lesson
# Titles: "PJ-7 Mashq: Katakana 1 va ismingizni yozish"  (same wording as the tutorial)
#
# TWO LENGTHS:
#   PJ-1 … PJ-12    12 savol   (yozuv — belgi tanish va oʻqish mashqi)
#   PJ-13 … PJ-100  20 savol   (grammatika — Prime Korean ramp)
#
# Levels: 1–33 easy · 34–70 medium · 71–100 hard
# Rhythm: 3 lessons at a time, all three legs (tutorial → practice → reading).
# PJ-1 … PJ-12 have no reading leg — the script lessons carry no grammar to embed.

### Block A: Uchta yozuv (1–12)   level: easy · 12 savol
1. Yapon yozuvi — nega uchta alifbo bor   [done]
2. Hiragana 1: あ-そ   [done]
3. Hiragana 2: た-ほ   [done]
4. Hiragana 3: ま-ん   [done]
5. Hiragana 4: butun 五十音図 ni oʻqish   [done]
6. Dakuten, handakuten, yōon va sokuon   [done]
7. Katakana 1: ア-ソ   [done]
8. Katakana 2: タ-ン va chalgʻituvchi juftliklar   [done]
9. Uzun unlilar ー va chet soʻzlar   [done]
10. Kanji nima   [done]
11. On'yomi va kun'yomi   [done]
12. Sonlar, sana, yosh va sanoq soʻzlari   [done]

### Block B: Birinchi gaplar (13–26)   level: easy · 20 savol
13. 〜です / 〜ではありません   [done]
14. は va が   [done]
15. これ・それ・あれ va この・その・あの   [done]
16. ここ・そこ・あそこ va あります / います   [done]
17. の — egalik   [done]
18. Soʻroq soʻzlari va か   [done]
19. も, と, や   [done]
20. 〜ます / 〜ません   [done]
21. を va に   [done]
22. で va へ   [done]
23. 〜ました / 〜ませんでした   [done]
24. Vaqt: soat, hafta kunlari, から〜まで   [done]
25. い-sifatlar   [done]
26. な-sifatlar   [done]

### Block C: Feʼlning haqiqiy dunyosi (27–44)   level: medium · 20 savol
27. Uchta feʼl guruhi   [done]
28. Lugʻat shakli (辞書形)   [done]
29. て-shakli 1: 一段 va 不規則   [done]
30. て-shakli 2: 五段   [done]
31. 〜ています   [done]
32. 〜てください va 〜てもいいです   [done]
33. 〜てはいけません va 〜なければなりません   [done]
34. ない-shakli   [done]
35. 〜た shakli va 〜たことがあります   [done]
36. 〜たり〜たりします   [done]
37. 〜てから, 〜まえに, 〜あとで   [done]
38. 〜ながら   [done]
39. 〜たいです va 〜がほしいです   [done]
40. 〜ましょう / 〜ませんか   [done]
41. 〜ことができます   [done]
42. Potensial shakl   [done]
43. Sanoq soʻzlari   [done] (助数詞)
44. Taqqoslash   [done]: より, のほうが, いちばん

### Block D: Gapni bogʻlash (45–62)   level: medium · 20 savol
45. Oddiy shakl (普通体)   [done]
46. 〜と思います   [done]
47. 〜と言いました   [done]
48. Aniqlovchi ergash gap   [done]
49. 〜とき   [done]
50. 〜たら   [done]
51. 〜ば va 〜と   [done]
52. 〜なら va toʻrttasining farqi   [done]
53. 〜から va 〜ので   [done]
54. 〜が va 〜けど   [done]
55. 〜ても   [done]
56. 〜ために va 〜ように   [done]
57. 〜ようになります va 〜ことにします   [done]
58. 〜てしまいます   [done]
59. 〜ておきます va 〜てみます   [done]
60. あげる, くれる, もらう   [done]
61. 〜てあげる, 〜てくれる, 〜てもらう   [done]
62. 〜でしょう, 〜かもしれません, 〜はずです   [done]

### Block E: Ovoz va nuqtai nazar (63–78)   level: hard · 20 savol
63. Passiv 1   [done]
64. Passiv 2 — aziyat passivi   [done]
65. Kauzativ   [done]
66. Kauzativ-passiv   [done]
67. Buyruq va taqiq shakllari   [done]
68. Keigo 1: uch tarmoq   [done]
69. Keigo 2: 尊敬語   [done]
70. Keigo 3: 謙譲語   [done]
71. Keigo 4: 丁寧語 va ございます   [done]
72. うちとそと   [done]
73. 〜そうです 1: koʻrinish   [done]
74. 〜そうです 2: eshitilgan xabar   [done]
75. 〜ようです va 〜らしいです   [done]
76. 〜みたいです   [done]
77. 擬音語・擬態語   [done]
78. Erkak va ayol nutqi, yoshlar tili   [done]

### Block F: Yozma til va N3 ga eshik (79–100)   level: hard · 20 savol
79. 〜ということ   [done]
80. 〜わけです   [done]
81. 〜はずがない, 〜に違いない   [done]
82. 〜べきです   [done]
83. 〜ばかり va 〜たばかり   [done]
84. 〜ところ   [done]
85. 〜うちに va 〜あいだに   [done]
86. 〜につれて, 〜にしたがって   [done]
87. 〜によって   [done]
88. 〜として va 〜にとって   [done]
89. 〜に関して, 〜について, 〜に対して   [done]
90. 〜ながらも, 〜つつ   [done]
91. 〜さえ, 〜こそ, 〜しか〜ない   [done]
92. 〜がち, 〜っぽい, 〜気味   [done]
93. 〜おかげで va 〜せいで   [done]
94. 〜どころか va 〜ばかりか   [next]
95. 〜たとたん, 〜次第
96. だ・である体 va gazeta yaponchasi
97. Xat va rasmiy murojaat qoliplari
98. 四字熟語 va ことわざ
99. 和語・漢語・外来語
100. N3 dan N2 gacha yoʻl xaritasi
